1.2.0-2	VibeCode Desktop v1.2.0 - Apple Virtualization Framework	Native Desktop Application
1.2.0-2	VibeCode Desktop v1.2.0 - Apple Virtualization Framework	Tauri 2.9.1 Integration** - Native desktop application built with Rust + Swift
1.2.0-2	VibeCode Desktop v1.2.0 - Apple Virtualization Framework	OpenVSCode Server Backend** - Full VS Code experience with native Rust CLI (no Docker required)
1.2.0-2	VibeCode Desktop v1.2.0 - Apple Virtualization Framework	Cross-Platform Support** - macOS (Intel + Apple Silicon), Linux (x86_64 + ARM64), Windows (x86_64)
1.2.0-2	VibeCode Desktop v1.2.0 - Apple Virtualization Framework	Native System Integration** - Platform-native menus, notifications, and system tray support
1.2.0-2	VibeCode Desktop v1.2.0 - Apple Virtualization Framework	Apple Virtualization Framework Integration
1.2.0-2	VibeCode Desktop v1.2.0 - Apple Virtualization Framework	Apple VF Runtime Support** - Native Apple Virtualization Framework for running Linux VMs
1.2.0-2	VibeCode Desktop v1.2.0 - Apple Virtualization Framework	vfkit Integration** - Fast, native VM management without heavy virtualization layers
1.2.0-2	VibeCode Desktop v1.2.0 - Apple Virtualization Framework	VM Discovery System** - Automatic detection and management of VM images
1.2.0-2	VibeCode Desktop v1.2.0 - Apple Virtualization Framework	Auto-Start Functionality** - Designated VMs start automatically on application launch
1.2.0-2	VibeCode Desktop v1.2.0 - Apple Virtualization Framework	Lima VM Support** - Integration with Lima for lightweight Linux VM management
1.2.0-2	VibeCode Desktop v1.2.0 - Apple Virtualization Framework	321+ AI Models** - Access to OpenAI GPT-4, Anthropic Claude, Google Gemini, Mistral via OpenRouter
1.2.0-2	VibeCode Desktop v1.2.0 - Apple Virtualization Framework	Multi-Provider Support** - Intelligent routing between AI providers based on task type
1.2.0-2	VibeCode Desktop v1.2.0 - Apple Virtualization Framework	Model Orchestration Dashboard** - Complete management interface with usage analytics
1.2.0-2	VibeCode Desktop v1.2.0 - Apple Virtualization Framework	Monacopilot Integration** - AI-powered code completion in Monaco editor (v1.2.7)
1.2.0-2	VibeCode Desktop v1.2.0 - Apple Virtualization Framework	Context-Aware Suggestions** - Intelligent code completion using project context
1.2.0-2	VibeCode Desktop v1.2.0 - Apple Virtualization Framework	Monaco Editor 0.53.0** - Full-featured code editor with IntelliSense
1.2.0-2	VibeCode Desktop v1.2.0 - Apple Virtualization Framework	Syntax Highlighting** - Support for 50+ programming languages
1.2.0-2	VibeCode Desktop v1.2.0 - Apple Virtualization Framework	TypeScript/JavaScript** - First-class support with full type checking
1.2.0-2	VibeCode Desktop v1.2.0 - Apple Virtualization Framework	Git Integration** - Built-in version control operations
1.2.0-2	VibeCode Desktop v1.2.0 - Apple Virtualization Framework	Multi-Language Support** - Python, Rust, Go, Java, and more
